City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,Wanaka,-44.7,169.15,45.1,62,82,8.99,NZ,2021-10-11 21:43:12
211,Manaus,-3.1019,-60.025,91.89,62,40,3.44,BR,2021-10-11 21:40:16
212,Kautokeino,69.0125,23.0412,36.93,95,100,12.82,NO,2021-10-11 21:43:12
213,Guangyuan,32.442,105.823,53.47,93,100,2.57,CN,2021-10-11 21:43:13
214,Hilo,19.7297,-155.09,79.25,88,90,8.05,US,2021-10-11 21:40:56
215,Deputatskiy,69.3,139.9,20.8,97,100,2.21,RU,2021-10-11 21:43:13
216,Nome,64.5011,-165.4064,37.47,57,90,9.22,US,2021-10-11 21:43:06
217,Guasdualito,7.2424,-70.7324,76.41,94,100,2.39,VE,2021-10-11 21:43:14
218,Victoria,22.2855,114.1577,76.32,70,100,1.99,HK,2021-10-11 21:39:30
219,Morant Bay,17.8815,-76.4093,85.62,78,66,7.0,JM,2021-10-11 21:40:11
220,Magadan,59.5667,150.8,31.28,59,100,3.74,RU,2021-10-11 21:43:14
221,Kloulklubed,7.0419,134.2556,75.7,76,99,9.48,PW,2021-10-11 21:43:15
222,Lata,40.1629,-8.3327,70.21,56,97,5.08,PT,2021-10-11 21:43:15
223,Vaitape,-16.5167,-151.75,80.17,78,51,16.49,PF,2021-10-11 21:43:15
224,Cabedelo,-6.9811,-34.8339,79.47,78,67,10.85,BR,2021-10-11 21:43:16
225,Radhanpur,23.8333,71.6,84.27,67,0,4.59,IN,2021-10-11 21:43:16
226,Pevek,69.7008,170.3133,16.79,90,100,7.47,RU,2021-10-11 21:43:17
227,Sur,22.5667,59.5289,81.99,48,0,4.23,OM,2021-10-11 21:42:45
228,Lavrentiya,65.5833,-171.0,30.61,82,100,9.84,RU,2021-10-11 21:42:00
229,Sembakung,3.8167,117.25,82.33,99,99,2.24,ID,2021-10-11 21:43:17
230,Esperance,-33.8667,121.9,44.44,67,92,27.96,AU,2021-10-11 21:43:17
231,Clyde River,70.4692,-68.5914,41.23,60,75,36.82,CA,2021-10-11 21:38:57
232,Blackfoot,43.1905,-112.345,41.54,82,100,9.57,US,2021-10-11 21:43:18
