City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
644,Sambava,MG,75.92,light rain,-14.2667,50.1667,Melrose
647,Samana,DO,88.02,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
648,Kulhudhuffushi,MV,81.32,moderate rain,6.6221,73.07,Haajy Guest House 1
651,Seye,MX,83.32,overcast clouds,20.8333,-89.3667,Casa
654,Bongandanga,CD,77.56,overcast clouds,1.5,21.05,
655,Meulaboh,ID,76.87,moderate rain,4.1363,96.1285,Kost Pria
656,Qeshm,IR,80.47,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
660,Jabinyanah,TN,76.8,overcast clouds,35.035,10.9081,maison belmabrouk
666,Kolokani,ML,85.64,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
669,Nileshwar,IN,77.63,overcast clouds,12.25,75.1,Neeleshwar Hermitage
670,Acarau,BR,87.3,broken clouds,-2.8856,-40.12,castelo pizzaria
672,Buchanan,LR,78.96,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
674,Sonoita,MX,80.53,clear sky,31.85,-112.8333,Hotel Nora
675,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
676,Matara,LK,78.4,few clouds,5.9485,80.5353,Amaloh Boutique Resort
681,Sorong,ID,79.03,broken clouds,-0.8833,131.25,waigo splash hotel
