,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Jamame,SO,0.0722,42.7506,77.52,78,3,8.7,clear sky
282,Martapura,ID,-3.4167,114.85,78.89,94,75,1.14,broken clouds
283,Asau,RO,46.4333,26.4,49.95,61,14,4.23,light rain
284,Sibolga,ID,1.7427,98.7792,77.38,90,96,2.35,overcast clouds
285,Ozernovskiy,RU,51.5,156.5167,38.66,88,100,13.58,light rain
286,Margate,GB,51.3813,1.3862,55.11,74,59,12.3,broken clouds
287,Longyearbyen,SJ,78.2186,15.6401,19.24,79,40,4.61,scattered clouds
288,Sioux Lookout,CA,50.1001,-91.917,39.27,75,75,9.22,broken clouds
289,Praia,CV,14.9215,-23.5087,86.54,51,0,16.11,clear sky
290,Wattegama,LK,6.7989,81.4808,74.53,88,30,2.46,scattered clouds
291,Arrifes,PT,37.7667,-25.7,70.05,64,20,11.5,few clouds
292,Scarborough,GB,54.2797,-0.4044,54.09,74,98,5.01,overcast clouds
293,Moron,AR,-34.6534,-58.6198,70.02,58,79,11.61,light rain
294,Dickinson,US,29.4608,-95.0513,85.01,70,75,3.0,broken clouds
295,Buriti Bravo,BR,-5.8372,-43.8336,87.21,55,75,4.56,broken clouds
296,Union City,US,37.5958,-122.0192,65.1,73,75,3.0,broken clouds
297,Katsuura,JP,35.1333,140.3,55.51,59,34,9.53,scattered clouds
298,Jasper,US,37.2001,-94.3502,62.65,94,90,12.66,overcast clouds
299,Atambua,ID,-9.1061,124.8925,75.54,86,72,1.25,broken clouds
300,Cuiluan,CN,47.72,128.648,33.84,74,1,4.63,clear sky
301,Cape Girardeau,US,37.3834,-89.7168,58.48,90,100,5.12,overcast clouds
302,Neuquen,AR,-38.9516,-68.0591,69.69,24,0,16.11,clear sky
303,Parrita,CR,9.5201,-84.3225,90.05,74,75,5.41,broken clouds
304,Lashio,MM,22.9333,97.75,63.52,99,49,1.59,scattered clouds
305,Ahipara,NZ,-35.1667,173.1667,59.94,97,92,1.74,overcast clouds
306,Ploemeur,FR,47.7333,-3.4333,54.82,78,20,8.05,few clouds
307,Sitka,US,57.0531,-135.33,48.09,66,75,9.22,light rain
308,Ponta Do Sol,PT,32.6667,-17.1,73.0,66,26,3.6,scattered clouds
309,Hanzhong,CN,33.0728,107.0303,52.59,84,98,0.76,overcast clouds
310,Monywa,MM,22.1167,95.1333,76.12,87,49,2.04,scattered clouds
311,Zyryanovsk,KZ,49.7386,84.2719,36.88,53,95,2.68,moderate rain
312,Santander Jimenez,MX,24.2167,-98.4667,87.01,52,0,9.57,clear sky
313,Athmallik,IN,20.7219,84.5348,69.4,75,6,1.99,clear sky
314,Provideniya,RU,64.3833,-173.3,22.55,78,100,8.77,overcast clouds
315,Balingasay,PH,16.3573,119.8564,80.76,76,100,10.29,overcast clouds
316,Gornopravdinsk,RU,60.05,69.9,41.77,87,91,11.86,overcast clouds
317,Port Hardy,CA,50.6996,-127.4199,48.38,93,40,6.91,light rain
318,Vostok,RU,46.4856,135.8833,28.89,90,0,6.08,clear sky
319,Porto Santo,PT,33.072,-16.3415,72.3,64,40,11.5,scattered clouds
320,Codrington,AU,-38.2667,141.9667,48.88,85,21,12.93,few clouds
321,Gandajika,CD,-6.75,23.95,77.27,59,94,3.09,overcast clouds
322,Parintins,BR,-2.6283,-56.7358,94.19,44,81,4.25,light rain
323,Prachuap Khiri Khan,TH,12.2167,99.75,70.88,97,98,3.36,overcast clouds
324,Pangnirtung,CA,66.1451,-65.7125,30.2,86,90,6.91,light snow
325,Inhambane,MZ,-23.865,35.3833,75.18,94,20,14.97,few clouds
326,Vorontsovka,RU,50.6132,40.3549,50.67,46,82,10.74,broken clouds
